Date,SPY,TLT,GLD,Regime,RegimeName,RegimeName_Shifted,Static_Return,Sp500_Return,Portfolio_Return,Cumulative_Portfolio,Cumulative_Static,Cumulative_SP500
2015-01-06,-0.0094637762369137,0.017856408655034,0.0113344821714199,2,bear,bear,0.0014642977198653798,-0.0094637762369137,0.01043579373156023,1.0104904365419118,1.0014653703272465,0.990580864359556
2015-01-07,0.0123843799227014,-0.0019764410785222,-0.0059088369939748,2,bear,bear,0.0066400515222119596,0.0123843799227014,-0.0002839956529132595,1.010203502396577,1.0081372783766882,1.0029248728038547
2015-01-08,0.0175893578190985,-0.0133308508371347,-0.0042173997009501,0,neutral,bear,0.005221274356605219,0.0175893578190985,-0.00441277376503268,1.0057555240627027,1.0134148054149827,1.0207217361171115
2015-01-09,-0.008046049399166,0.0108928623082,0.0113208727848808,1,bull,neutral,-0.00047048471621959943,-0.008046049399166,0.0015090085498531596,1.0072743634301577,1.0129381213829132,1.012541910375876
2015-01-12,-0.0078644325310898,0.0057055341738464,0.0110254312016538,1,bull,bull,-0.0024364458491153195,-0.0078644325310898,-0.0032614528168281995,1.0039945370270729,1.0104731565976597,1.004610073416635
2015-01-13,-0.0028164204399196,0.0,-0.0033794717396936,1,bull,bull,-0.00168985226395176,-0.0028164204399196,-0.00230944148191308,1.0016785457481794,1.0087670481878972,1.0017846497298843
2015-01-14,-0.0060554423083887,0.0075573942620298,-0.0016093040146014,1,bull,bull,-0.0006103076802212995,-0.0060554423083887,-0.0028882611649262697,0.9987896105127831,1.0081515777431076,0.9957367304716987
2015-01-15,-0.0092028746452471,0.0156133462253915,0.0248642098306643,1,bull,bull,0.0007236137030083405,-0.0092028746452471,-0.00083292202352824,0.9979580430128339,1.0088813540456947,0.9866151270258685
2015-01-16,0.0130289052129828,-0.0128316527454532,0.0129796795335201,1,bull,bull,0.002684682029608399,0.0130289052129828,0.00785187105334933,1.0058247245514864,1.0115935187077754,0.9995537469945627
2015-01-20,0.0021302252820098,0.0132022125217006,0.0136188903625512,1,bull,bull,0.00655902017788612,0.0021302252820098,0.0054934892380021005,1.0113654167835942,1.0182503884148892,1.001685291185747
2015-01-21,0.0050354817140241,-0.0116267571288681,0.0002415683194497,1,bull,bull,-0.0016294138231327804,0.0050354817140241,0.0012236426059882193,1.0126037240660588,1.0165925881447206,1.0067419798996853
2015-01-22,0.0147615979981568,-0.0036042080884854,0.0080173601345771,1,bull,bull,0.007415275563499919,0.0147615979981568,0.01041401299447039,1.023204092793437,1.0241589208723532,1.021713328953225
2015-01-23,-0.0054981507224525,0.013821614065733,-0.0080173601345771,1,bull,bull,0.0022297551928217,-0.0054981507224525,-0.0018861187060278599,1.0212760272657462,1.0264450923986588,1.0161112098356446
2015-01-26,0.0023391548623634,-0.0030466794786028,-0.0100316793623295,1,bull,bull,0.0001848211259769198,0.0023391548623634,2.490457170086966e-05,1.021301462024513,1.0266348186685608,1.0184908333817901
2015-01-27,-0.0132781901619407,0.0015613730048135,0.0113991586858071,1,bull,bull,-0.007342364895239019,-0.0132781901619407,-0.007842542643815079,1.0133231876272422,1.0191244967181516,1.0050565075680056
2015-01-28,-0.0129072623314012,0.0162170297634468,-0.00790903451403,1,bull,bull,-0.001257545493462,-0.0129072623314012,-0.00658258113069448,1.0066748112777946,1.0178437067946142,0.9921673404389638
2015-01-29,0.0092009073831814,-0.0066027766781791,-0.0217880355284341,1,bull,bull,0.002879433758637199,0.0092009073831814,0.002941276279747749,1.0096400787192832,1.0207787439195655,1.0013383061514805
2015-01-30,-0.0126546295856061,0.0175826236375982,0.0220310685420678,1,bull,bull,-0.0005597282963243798,-0.0126546295856061,-0.00313860912819785,1.006476180868619,1.0202075450453065,0.9887465806440863
2015-02-02,0.0123082292170513,-0.0037827950090364,-0.0083784506048197,1,bull,bull,0.005871819526616219,0.0123082292170513,0.007021356389646658,1.0135678763582103,1.0262156415964427,1.0009915022631468
2015-02-03,0.0143576482160486,-0.0213942790780359,-0.011254031870982,1,bull,bull,5.687729841480013e-05,0.0143576482160486,0.004646094748528639,1.0182879652452033,1.026274011629677,1.01546705489863
2015-02-04,-0.0038151132331903,0.0017078892304699,0.0043687887862804,1,bull,bull,-0.0016059122477262199,-0.0038151132331903,-0.00189212253851119,1.0163630612868337,1.024627228273573,1.011600313817214
2015-02-05,0.0100445599765505,-0.0110395931288594,0.0017257602352123,1,bull,bull,0.0016108987343865407,0.0100445599765505,0.004995849381334699,1.0214533626600673,1.026279129144105,1.0218125969243959
2015-02-06,-0.0027690283307727,-0.017860574012524,-0.0262045649311726,1,bull,bull,-0.00880564660347322,-0.0027690283307727,-0.00813089112716295,1.013181710100825,1.0172817498252116,1.0189870826646787
2015-02-09,-0.0044860440142512,-0.0016047411537122,0.0044573370525421,1,bull,bull,-0.0033335228700355998,-0.0044860440142512,-0.00301544533546407,1.0101311177978525,1.0138962637795443,1.0144260997958308
2015-02-10,0.0105969530754467,-0.0079859739492096,-0.0058912554670821,1,bull,bull,0.0031637822655841796,0.0105969530754467,0.005231546816262559,1.0154295133490177,1.017109090460166,1.0252330850003744
2015-02-11,0.0005799853810555,0.0018485025090286,-0.0118877303857678,1,bull,bull,0.00108739223224474,0.0005799853810555,-0.00041308277003221025,1.0150101435360563,1.018215688528511,1.0258278776707026
2015-02-12,0.0095707030879137,-0.0033143824384214,0.0023036284035265,1,bull,bull,0.004416668877379661,0.0095707030879137,0.00626697851420796,1.0213911642726816,1.0227227558558933,1.0356929040247187
